obsid,paperid,pobsid,Authors,Preferred,CorrelationCoefficient,StandardError,Tstatistic,CorrectionFactor,CorrelationCoefficientCorrected,coeffmed,StandardErrorCorrected,TstatisticCorrected,Observations,DegreesofFreedom,NumberofCountries,YNCorrected,TaxType,Statutory,EATR,EMTR,ATR,CorpTaxStructure,CrossSection,IntraNational,USAonly,CountryFixedEffects,DataOECDCountries,DataNonOECDcountries,DataMixofCountries,NoGDPpercapita,OLS,PMG,SURE,GMM,IV,OtherEstimator,TacklingEndogeneity,JournalName,YearofPublication,JournalImpactFactor,ReviewedJournal,Citations,AuthorOECDaffiliation,TotalTaxRevenues,GovernmentSpending,NoOtherTaxVariables,LongRunExplicit,ShortRunExplicit,HorizonOther
20,1,20,Akgun et al. 2017,0,-0.015,0.0084,-1.785714286,0.554455446,-0.008316832,,0.004657426,-1.785714286,511,427,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
21,1,21,Akgun et al. 2017,0,-0.014,0.0084,-1.666666667,0.554455446,-0.007762376,,0.004657426,-1.666666667,511,427,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
22,1,22,Akgun et al. 2017,0,-0.014,0.0083,-1.686746988,0.554455446,-0.007762376,,0.00460198,-1.686746988,511,427,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
23,1,23,Akgun et al. 2017,0,-0.033,0.015,-2.2,0.554455446,-0.01829703,,0.008316832,-2.2,528,447,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,1,1,0,0
24,1,24,Akgun et al. 2017,0,-0.027,0.016,-1.6875,0.554455446,-0.014970297,,0.008871287,-1.6875,491,407,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
25,1,25,Akgun et al. 2017,0,-0.035,0.016,-2.1875,0.554455446,-0.019405941,,0.008871287,-2.1875,491,409,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
26,1,26,Akgun et al. 2017,0,-0.024,0.016,-1.5,0.554455446,-0.013306931,,0.008871287,-1.5,491,406,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
27,1,27,Akgun et al. 2017,0,-0.031,0.016,-1.9375,0.554455446,-0.017188119,,0.008871287,-1.9375,491,406,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
28,1,28,Akgun et al. 2017,0,-0.048,0.019,-2.526315789,0.554455446,,,,-2.5263158,491,406,34,0,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
29,1,29,Akgun et al. 2017,0,0.0028,0.016,0.175,0.554455446,0.001552475,,0.008871287,0.175,431,347,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
30,1,30,Akgun et al. 2017,0,0.0071,0.015,0.473333333,0.554455446,0.003936634,,0.008316832,0.473333333,431,346,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
31,1,31,Akgun et al. 2017,0,-0.0016,0.016,-0.1,0.554455446,-0.000887129,,0.008871287,-0.1,431,348,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
32,1,32,Akgun et al. 2017,0,-0.034,0.015,-2.266666667,0.554455446,-0.018851485,,0.008316832,-2.266666667,508,424,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
33,1,33,Akgun et al. 2017,0,-0.027,0.016,-1.6875,0.554455446,-0.014970297,,0.008871287,-1.6875,508,423,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
34,1,34,Akgun et al. 2017,0,-0.01,0.0084,-1.19047619,0.554455446,-0.005544554,,0.004657426,-1.19047619,472,389,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
35,1,35,Akgun et al. 2017,0,-0.014,0.0088,-1.590909091,0.554455446,-0.007762376,,0.004879208,-1.590909091,472,388,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
36,1,36,Akgun et al. 2017,0,-0.015,0.0083,-1.807228916,0.554455446,-0.008316832,,0.00460198,-1.807228916,511,427,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
37,1,37,Akgun et al. 2017,0,-0.016,0.0087,-1.83908046,0.554455446,-0.008871287,,0.004823762,-1.83908046,511,427,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
38,1,38,Akgun et al. 2017,0,-0.017,0.0083,-2.048192771,0.554455446,-0.009425743,-0.009425743,0.00460198,-2.048192771,511,427,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
39,1,39,Akgun et al. 2017,0,-0.016,0.0084,-1.904761905,0.554455446,-0.008871287,,0.004657426,-1.904761905,511,427,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
40,1,40,Akgun et al. 2017,0,-0.016,0.0083,-1.927710843,0.554455446,-0.008871287,,0.00460198,-1.927710843,511,427,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
43,2,1,Alm and Rogers 2011,0,0.017862,0.0121115,1.474796681,0.04950495,0.000884257,0.000884257,0.000599579,1.474796681,2400,2352,1,1,ATR,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,Public Finance Review,2011,0.0001,1,55,0,0,0,0,0,0,1
44,2,2,Alm and Rogers 2011,0,0.0093894,0.0043028,2.182160454,0.04950495,0.000464822,,0.00021301,2.182160454,2400,2352,1,1,ATR,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,Public Finance Review,2011,0.0001,1,55,0,0,0,0,0,0,1
45,3,1,Angelopoulos et al. 2007,1,0.047,0.024226804,1.94,1,0.047,0.047,0.024226804,1.94,85,49,23,1,Statutory,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,European Journal of Political Economy,2007,1.446,1,203,0,0,1,0,1,0,0
46,3,2,Angelopoulos et al. 2007,0,0.011,0.021153846,0.52,1,0.011,,0.021153846,0.52,85,46,23,1,Statutory,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,European Journal of Political Economy,2007,1.446,1,203,0,0,1,0,1,0,0
47,4,1,Arnold 2008,0,-1.18,0.22,-5.363636364,0.022482014,-0.026528777,-0.026528777,0.004946043,-5.363636364,675,606,21,1,TaxStructure,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,OECD Working Paper,2008,0.0001,0,545,1,1,0,0,1,0,0
48,4,2,Arnold 2008,1,-2.04,0.3,-6.8,0.022482014,-0.045863309,,0.006744604,-6.8,675,606,21,1,TaxStructure,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,OECD Working Paper,2008,0.0001,0,545,1,1,0,0,1,0,0
49,4,3,Arnold 2008,0,-2.4,0.43,-5.581395349,0.022482014,-0.053956835,,0.009667266,-5.581395349,675,606,21,1,TaxStructure,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,OECD Working Paper,2008,0.0001,0,545,1,1,0,0,1,0,0
50,4,4,Arnold 2008,0,-0.6,0.07,-8.571428571,0.036921078,-0.022152647,,0.002584475,-8.571428571,589,521,21,1,TaxStructure,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,OECD Working Paper,2008,0.0001,0,545,1,1,0,0,1,0,0
51,4,5,Arnold 2008,0,-0.36,0.17,-2.117647059,0.036921078,-0.013291588,,0.006276583,-2.117647059,586,518,21,1,TaxStructure,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,OECD Working Paper,2008,0.0001,0,545,1,1,0,0,1,0,0
52,5,1,Arnold et al. 2011,1,-2.01,0.32,-6.28125,0.022482014,-0.045188849,-0.045188849,0.007194245,-6.28125,675,607,21,1,TaxStructure,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,Economic Journal,2011,2.946,1,607,1,1,0,0,1,0,0
53,6,1,Bakija and Narasimhan 2015,-1,-0.0776,0.0287,-2.703832753,1,-0.0776,,0.0287,-2.703832753,306,220,78,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,0,0,1,1,0,0
54,6,2,Bakija and Narasimhan 2015,0,-0.0545,0.03,-1.816666667,1,-0.0545,,0.03,-1.816666667,306,216,78,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,0,0,1,1,0,0
55,6,3,Bakija and Narasimhan 2015,0,-0.0545,0.0289,-1.885813149,1,-0.0545,,0.0289,-1.885813149,306,216,78,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,0,0,1,1,0,0
56,6,4,Bakija and Narasimhan 2015,0,-0.0599,0.0303,-1.97689769,1,-0.0599,,0.0303,-1.97689769,294,207,75,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,0,0,1,1,0,0
57,6,5,Bakija and Narasimhan 2015,0,-0.0564,0.0203,-2.778325123,1,-0.0564,,0.0203,-2.778325123,443,353,76,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,0,0,1,1,0,0
58,6,6,Bakija and Narasimhan 2015,0,-0.0545,0.0208,-2.620192308,1,-0.0545,,0.0208,-2.620192308,443,352,76,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,0,0,0,1,0,0
59,6,7,Bakija and Narasimhan 2015,0,-0.0543,0.0206,-2.63592233,1,-0.0543,-0.0543,0.0206,-2.63592233,443,352,76,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,0,0,0,1,0,0
60,6,8,Bakija and Narasimhan 2015,0,-0.052,0.0209,-2.488038278,1,-0.052,,0.0209,-2.488038278,443,353,76,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,0,0,0,1,0,0
61,6,9,Bakija and Narasimhan 2015,1,-0.0396,0.021,-1.885714286,1,-0.0396,,0.021,-1.885714286,268,204,50,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,0,0,0,1,0,0
62,6,10,Bakija and Narasimhan 2015,1,-0.0393,0.0219,-1.794520548,1,-0.0393,,0.0219,-1.794520548,268,203,50,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,1,0,0,1,0,0
63,6,11,Bakija and Narasimhan 2015,1,-0.0365,0.0208,-1.754807692,1,-0.0365,,0.0208,-1.754807692,268,203,50,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,0,1,0,1,0,0
64,6,12,Bakija and Narasimhan 2015,0,-0.0512,0.021,-2.438095238,1,-0.0512,,0.021,-2.438095238,443,353,76,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,0,0,0,1,0,0
65,6,13,Bakija and Narasimhan 2015,0,-0.0551,0.0205,-2.687804878,1,-0.0551,,0.0205,-2.687804878,443,353,76,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,0,0,0,1,0,0
66,6,14,Bakija and Narasimhan 2015,0,-0.052,0.0209,-2.488038278,1,-0.052,,0.0209,-2.488038278,443,354,76,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,0,0,0,1,0,0
67,6,15,Bakija and Narasimhan 2015,1,-0.0343,0.019,-1.805263158,1,-0.0343,,0.019,-1.805263158,408,325,69,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,0,0,1,1,0,0
68,6,16,Bakija and Narasimhan 2015,1,-0.0339,0.0197,-1.720812183,1,-0.0339,,0.0197,-1.720812183,400,316,69,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Conference Proceedings,2015,0.0001,0,4,0,0,1,1,1,0,0
69,7,1,Blanco and Delgado 2019,0,0.0936,0.0497,1.883299799,1,0.0936,,0.0497,1.883299799,338,330,26,1,Statutory,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Revista de Economia Mundial,2019,0.0001,1,1,0,1,0,1,0,0,1
70,7,2,Blanco and Delgado 2019,0,0.0355,0.0365,0.97260274,1,0.0355,,0.0365,0.97260274,338,330,26,1,Statutory,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Revista de Economia Mundial,2019,0.0001,1,1,0,1,0,1,0,0,1
71,7,3,Blanco and Delgado 2019,0,0.0338,0.0342,0.988304094,1,0.0338,,0.0342,0.988304094,338,330,26,1,Statutory,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Revista de Economia Mundial,2019,0.0001,1,1,0,1,0,1,0,0,1
72,7,4,Blanco and Delgado 2019,0,0.0228,0.0372,0.612903226,1,0.0228,,0.0372,0.612903226,338,330,26,1,Statutory,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Revista de Economia Mundial,2019,0.0001,1,1,0,1,0,1,0,0,1
73,7,5,Blanco and Delgado 2019,1,0.009,0.0332,0.271084337,1,0.009,,0.0332,0.271084337,338,330,26,1,Statutory,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Revista de Economia Mundial,2019,0.0001,1,1,0,1,0,1,0,0,1
74,7,6,Blanco and Delgado 2019,0,0.0124,0.03,0.413333333,1,0.0124,0.0124,0.03,0.413333333,338,330,26,1,Statutory,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Revista de Economia Mundial,2019,0.0001,1,1,0,1,0,1,0,0,1
75,7,7,Blanco and Delgado 2019,0,0.0067,0.0297,0.225589226,1,0.0067,,0.0297,0.225589226,338,330,26,1,Statutory,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Revista de Economia Mundial,2019,0.0001,1,1,0,1,0,1,0,0,1
76,7,8,Blanco and Delgado 2019,0,0.0041,0.031,0.132258065,1,0.0041,,0.031,0.132258065,338,330,26,1,Statutory,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Revista de Economia Mundial,2019,0.0001,1,1,0,1,0,1,0,0,1
77,7,9,Blanco and Delgado 2019,0,-0.0061,0.0376,-0.162234043,1,-0.0061,,0.0376,-0.162234043,338,330,26,1,Statutory,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Revista de Economia Mundial,2019,0.0001,1,1,0,1,0,1,0,0,1
78,8,1,Lee and Gordon 2005,0,-0.064,0.03,-2.133333333,1,-0.064,,0.03,-2.133333333,70,67,70,1,Statutory,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Journal of Public Economics,2005,2.218,1,819,0,0,0,0,1,0,0
79,8,2,Lee and Gordon 2005,1,-0.069,0.025,-2.76,1,-0.069,,0.025,-2.76,70,61,70,1,Statutory,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Journal of Public Economics,2005,2.218,1,819,0,0,0,1,1,0,0
80,8,3,Lee and Gordon 2005,0,-0.057,0.023,-2.47826087,1,-0.057,,0.023,-2.47826087,70,57,70,1,Statutory,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Journal of Public Economics,2005,2.218,1,819,0,0,0,1,1,0,0
81,8,4,Lee and Gordon 2005,0,-0.068,0.029,-2.344827586,1,-0.068,-0.068,0.029,-2.344827586,70,59,70,1,Statutory,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Journal of Public Economics,2005,2.218,1,819,0,0,0,1,1,0,0
82,8,5,Lee and Gordon 2005,0,-0.008,0.069354164,-0.11534996,1,-0.008,,0.069354164,-0.11534996,70,59,70,1,Statutory,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Journal of Public Economics,2005,2.218,1,819,0,0,0,1,1,0,0
83,8,6,Lee and Gordon 2005,0,-0.073,0.035,-2.085714286,1,-0.073,,0.035,-2.085714286,44,28,44,1,Statutory,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Journal of Public Economics,2005,2.218,1,819,0,0,1,0,1,0,0
84,8,7,Lee and Gordon 2005,0,-0.109,0.039,-2.794871795,1,-0.109,,0.039,-2.794871795,68,59,68,1,Statutory,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Journal of Public Economics,2005,2.218,1,819,0,0,0,1,1,0,0
85,8,8,Lee and Gordon 2005,0,-0.084,0.044,-1.909090909,1,-0.084,,0.044,-1.909090909,64,54,64,1,Statutory,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Journal of Public Economics,2005,2.218,1,819,0,0,0,0,1,0,0
86,8,9,Lee and Gordon 2005,0,-0.058,0.019,-3.052631579,1,-0.058,,0.019,-3.052631579,270,261,77,1,Statutory,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Journal of Public Economics,2005,2.218,1,819,0,0,0,1,1,0,0
87,8,10,Lee and Gordon 2005,0,-0.047,0.019,-2.473684211,1,-0.047,,0.019,-2.473684211,270,261,77,1,Statutory,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Journal of Public Economics,2005,2.218,1,819,0,0,0,1,1,0,0
88,8,11,Lee and Gordon 2005,0,-0.047,0.027,-1.740740741,1,-0.047,,0.027,-1.740740741,270,261,77,1,Statutory,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Journal of Public Economics,2005,2.218,1,819,0,0,0,1,1,0,0
89,8,12,Lee and Gordon 2005,0,-0.082,0.025,-3.28,1,-0.082,,0.025,-3.28,270,184,77,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Journal of Public Economics,2005,2.218,1,819,0,0,0,1,1,0,0
90,8,13,Lee and Gordon 2005,0,-0.171,0.034,-5.029411765,1,-0.171,,0.034,-5.029411765,245,168,68,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,Journal of Public Economics,2005,2.218,1,819,0,0,0,1,1,0,0
91,8,14,Lee and Gordon 2005,0,-0.182,0.046,-3.956521739,1,-0.182,,0.046,-3.956521739,221,144,67,1,Statutory,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,Journal of Public Economics,2005,2.218,1,819,0,0,0,0,1,0,0
92,9,1,Bretschger 2010,1,-0.000502,0.000167,-3.005988024,76.92307692,-0.038615385,,0.012846154,-3.005988024,69,63,12,1,EATR,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Journal of Macroeconomics,2010,0.952,1,40,0,0,0,1,0,0,1
